,DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,avg_sat_score
1,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363,1122
2,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366,1172
3,01M450,EAST SIDE COMMUNITY SCHOOL,70,377,402,370,1149
4,01M458,FORSYTH SATELLITE ACADEMY,7,414,401,359,1174
5,01M509,MARTA VALLE HIGH SCHOOL,44,390,433,384,1207
6,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316,1205
7,01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621
8,01M650,CASCADES HIGH SCHOOL,18,417,418,411,1246
9,01M696,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628,1856
10,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387,1182
11,02M288,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392,1194
12,02M294,ESSEX STREET ACADEMY,53,394,384,378,1156
13,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362,1111
14,02M298,PACE HIGH SCHOOL,85,423,438,432,1293
15,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269
16,02M303,"FACING HISTORY SCHOOL, THE",76,353,358,340,1051
17,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148
18,02M308,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405,1200
19,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,1188
20,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,1127
21,02M374,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394,1176
22,02M376,NYC ISCHOOL,92,473,483,479,1435
23,02M392,MANHATTAN BUSINESS ACADEMY,NA,NA,NA,NA,NA
24,02M393,BUSINESS OF SPORTS SCHOOL,NA,NA,NA,NA,NA
25,02M394,EMMA LAZARUS HIGH SCHOOL,79,319,512,357,1188
26,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,NA,NA,NA,NA,NA
27,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461,1419
28,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467,1424
29,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523,1522
30,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518,1577
31,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550,1677
32,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515,1565
33,02M414,N.Y.C. MUSEUM SCHOOL,103,468,492,459,1419
